用户码,性别,累计消费次数,价值组别,页面版本,是否购买,retention_7
104,女,22,高,旧页面,是,FALSE
105,女,6,高,旧页面,是,FALSE
106,女,24,高,旧页面,是,FALSE
107,男,6,高,旧页面,否,FALSE
108,女,24,高,旧页面,是,FALSE
109,男,60,高,旧页面,否,TRUE
110,男,67,高,旧页面,否,FALSE
111,女,42,高,旧页面,是,TRUE
112,男,1,高,旧页面,否,FALSE
113,男,4,高,旧页面,否,FALSE
114,男,3,高,旧页面,否,FALSE
115,男,1,高,旧页面,否,FALSE
116,男,13,高,旧页面,否,FALSE
117,男,129,高,旧页面,否,TRUE
118,男,37,高,旧页面,否,FALSE
119,男,1,高,旧页面,否,FALSE
120,男,27,高,旧页面,否,FALSE
121,男,38,高,新页面,否,FALSE
122,男,8,高,旧页面,否,FALSE
123,女,51,高,旧页面,是,TRUE
124,男,5,高,旧页面,否,FALSE
125,男,2,高,新页面,否,FALSE
126,男,0,高,旧页面,否,FALSE
127,女,16,高,新页面,否,FALSE
128,男,0,高,新页面,否,FALSE
129,男,7,高,新页面,否,FALSE
130,男,5,高,旧页面,否,FALSE
131,男,0,高,新页面,否,FALSE
132,男,11,高,新页面,否,FALSE
133,男,0,高,新页面,否,FALSE
134,女,4,高,旧页面,是,FALSE
135,女,51,高,新页面,否,FALSE
136,男,5,高,新页面,否,FALSE
137,男,21,高,旧页面,否,FALSE
138,女,49,高,旧页面,是,FALSE
139,男,1,高,旧页面,否,FALSE
140,女,46,高,旧页面,是,TRUE
141,男,1,高,旧页面,否,FALSE
142,男,14,高,旧页面,否,FALSE
143,女,104,高,旧页面,是,TRUE
144,男,6,高,旧页面,否,FALSE
145,男,8,高,旧页面,否,FALSE
146,男,1,高,旧页面,否,FALSE
147,女,38,高,旧页面,是,TRUE
148,男,13,高,旧页面,否,FALSE
149,女,20,高,旧页面,是,FALSE
150,男,11,高,旧页面,否,FALSE
151,女,72,高,旧页面,是,FALSE
152,男,65,高,旧页面,否,TRUE
153,女,5,高,旧页面,是,FALSE
154,男,4,高,旧页面,否,FALSE
155,男,8,高,旧页面,否,FALSE
156,男,0,高,旧页面,否,FALSE
157,女,108,高,旧页面,是,FALSE
158,男,26,高,新页面,否,FALSE
159,女,2,高,新页面,否,FALSE
160,男,99,高,新页面,否,TRUE
161,男,10,高,旧页面,否,FALSE
162,女,5,高,新页面,否,FALSE
163,女,13,高,旧页面,是,FALSE
164,男,1,高,新页面,否,FALSE
165,男,16,高,新页面,否,FALSE
166,男,1,高,新页面,否,FALSE
167,女,91,高,新页面,否,FALSE
168,女,149,高,新页面,是,TRUE
169,女,20,高,旧页面,是,FALSE
170,女,68,高,新页面,是,FALSE
171,女,277,高,新页面,是,TRUE
172,女,493,高,新页面,是,TRUE
173,男,4,高,旧页面,否,FALSE
174,女,274,高,旧页面,是,TRUE
175,男,17,高,旧页面,否,FALSE
176,男,32,高,新页面,否,TRUE
177,男,1,高,新页面,否,FALSE
178,女,85,高,新页面,是,TRUE
179,男,12,高,新页面,否,FALSE
180,男,1,高,新页面,否,FALSE
181,男,8,高,旧页面,否,FALSE
182,男,9,高,旧页面,否,FALSE
183,女,8,高,旧页面,是,FALSE
184,女,191,高,新页面,是,TRUE
185,女,115,高,新页面,是,FALSE
186,女,45,高,新页面,是,FALSE
187,男,15,高,新页面,否,FALSE
188,女,134,高,旧页面,是,TRUE
189,女,19,高,新页面,是,FALSE
190,男,2,高,旧页面,否,FALSE
191,女,22,高,旧页面,是,FALSE
192,男,6,高,旧页面,否,FALSE
193,男,18,高,新页面,否,FALSE
194,男,0,高,旧页面,否,FALSE
195,男,0,高,旧页面,否,FALSE
196,男,12,高,新页面,否,FALSE
197,女,152,高,旧页面,是,TRUE
198,男,2,高,新页面,否,FALSE
199,女,8,高,旧页面,是,FALSE
200,女,73,高,新页面,是,FALSE
201,男,0,高,旧页面,否,FALSE
202,女,100,高,旧页面,是,TRUE
203,女,250,高,新页面,是,TRUE
204,男,10,高,旧页面,否,FALSE
205,女,13,高,新页面,是,FALSE
206,女,147,高,旧页面,是,TRUE
207,女,391,高,旧页面,是,FALSE
208,男,18,高,旧页面,否,FALSE
209,男,23,高,新页面,否,FALSE
210,女,19,高,旧页面,是,FALSE
211,男,4,高,旧页面,否,FALSE
212,男,14,高,旧页面,否,FALSE
213,女,61,高,旧页面,是,TRUE
214,女,61,高,新页面,是,FALSE
215,女,75,高,新页面,是,FALSE
216,男,75,高,旧页面,否,FALSE
217,女,57,高,旧页面,是,FALSE
218,女,35,高,旧页面,是,FALSE
219,男,9,高,旧页面,否,FALSE
220,男,13,高,旧页面,否,FALSE
221,男,1,高,旧页面,否,FALSE
222,男,20,高,旧页面,否,FALSE
223,女,77,高,新页面,是,TRUE
224,男,3,高,新页面,否,FALSE
225,男,7,高,新页面,否,FALSE
226,男,6,高,新页面,否,FALSE
227,女,51,高,旧页面,是,TRUE
228,男,197,高,新页面,否,TRUE
229,男,2,高,旧页面,否,FALSE
230,男,22,高,新页面,否,FALSE
231,女,69,高,新页面,是,FALSE
232,男,4,高,新页面,否,FALSE
233,女,260,高,旧页面,是,TRUE
234,男,20,高,新页面,否,FALSE
235,男,4,高,旧页面,否,FALSE
236,女,7,高,旧页面,是,FALSE
237,男,0,高,旧页面,否,FALSE
238,女,8,高,旧页面,是,TRUE
239,女,48,高,旧页面,是,TRUE
240,女,15,高,新页面,是,FALSE
241,男,61,高,旧页面,否,TRUE
242,男,1,高,旧页面,否,FALSE
243,女,12,高,旧页面,是,FALSE
244,女,270,高,旧页面,是,TRUE
245,男,59,高,旧页面,否,FALSE
246,女,141,高,旧页面,是,FALSE
247,男,53,高,旧页面,否,TRUE
248,男,20,高,新页面,否,FALSE
249,男,16,高,新页面,否,FALSE
250,男,0,高,旧页面,否,FALSE
251,女,37,高,旧页面,是,FALSE
252,女,467,高,旧页面,是,TRUE
253,男,25,高,新页面,否,FALSE
254,女,2,高,新页面,是,FALSE
255,男,4,高,新页面,否,FALSE
256,女,11,高,新页面,是,FALSE
257,男,40,高,旧页面,否,FALSE
258,男,9,高,旧页面,否,FALSE
259,女,11,高,新页面,是,TRUE
260,男,12,高,旧页面,否,FALSE
261,男,6,高,旧页面,否,FALSE
262,女,9,高,新页面,是,FALSE
263,男,4,高,新页面,否,FALSE
264,女,18,高,新页面,是,FALSE
265,男,77,高,旧页面,否,TRUE
266,男,4,高,旧页面,否,FALSE
267,女,45,高,新页面,是,FALSE
268,女,43,高,新页面,是,FALSE
269,男,3,高,旧页面,否,FALSE
270,女,30,高,新页面,是,FALSE
271,女,33,高,旧页面,是,TRUE
272,女,47,高,新页面,是,FALSE
273,男,72,高,新页面,否,TRUE
274,男,16,高,新页面,否,FALSE
275,男,2,高,新页面,否,FALSE
276,女,93,高,新页面,是,TRUE
277,女,222,高,旧页面,是,TRUE
278,女,334,高,新页面,是,TRUE
279,男,8,高,新页面,否,FALSE
280,女,29,高,旧页面,是,FALSE
281,女,27,高,新页面,是,FALSE
282,男,16,高,旧页面,否,FALSE
283,女,10,高,旧页面,是,FALSE
284,男,8,高,新页面,否,FALSE
285,女,58,高,新页面,是,FALSE
286,女,84,高,旧页面,是,FALSE
287,男,1,高,旧页面,否,FALSE
288,男,56,高,新页面,否,FALSE
289,女,43,高,旧页面,是,FALSE
290,女,50,高,旧页面,是,FALSE
291,女,23,高,旧页面,是,FALSE
292,男,5,高,旧页面,否,FALSE
293,女,21,高,旧页面,是,FALSE
294,女,48,高,旧页面,是,FALSE
295,女,85,高,新页面,是,TRUE
296,女,13,高,旧页面,是,FALSE
297,女,41,高,旧页面,是,FALSE
298,男,5,高,旧页面,否,FALSE
299,男,1,高,新页面,否,FALSE
300,女,303,高,旧页面,是,TRUE
301,女,18,高,新页面,是,FALSE
302,女,48,高,新页面,是,FALSE
303,女,4,高,旧页面,是,FALSE
304,男,51,高,新页面,否,TRUE
305,男,5,高,旧页面,否,FALSE
306,女,134,高,新页面,是,TRUE
307,女,11,高,新页面,是,FALSE
308,男,3,高,旧页面,否,FALSE
309,女,9,高,新页面,是,FALSE
310,男,3,高,新页面,否,FALSE
311,女,177,高,旧页面,是,TRUE
312,女,11,高,新页面,是,FALSE
313,男,20,高,新页面,否,TRUE
314,女,39,高,旧页面,是,TRUE
315,女,12,高,旧页面,是,FALSE
316,女,12,高,旧页面,是,FALSE
317,男,2,高,新页面,否,FALSE
318,女,9,高,旧页面,是,FALSE
319,女,216,高,旧页面,是,TRUE
320,女,30,高,新页面,是,FALSE
321,男,9,高,旧页面,否,FALSE
322,男,227,高,旧页面,否,FALSE
323,男,0,高,旧页面,否,FALSE
324,女,87,高,旧页面,是,FALSE
325,女,71,高,旧页面,是,FALSE
326,女,13,高,新页面,是,FALSE
327,女,55,高,旧页面,是,TRUE
328,男,14,高,新页面,否,FALSE
329,女,78,高,新页面,是,FALSE
330,男,1,高,旧页面,否,FALSE
331,男,3,高,旧页面,否,FALSE
332,女,96,高,旧页面,是,FALSE
333,男,2,高,旧页面,否,FALSE
334,女,12,高,旧页面,是,TRUE
335,女,99,高,新页面,是,FALSE
336,女,107,高,旧页面,是,FALSE
337,男,12,高,旧页面,否,FALSE
338,男,2,高,新页面,否,FALSE
339,男,2,高,新页面,否,FALSE
340,男,4,高,旧页面,否,FALSE
341,男,28,高,旧页面,否,FALSE
342,男,9,高,新页面,否,FALSE
343,女,136,高,旧页面,是,TRUE
344,男,15,高,新页面,否,FALSE
345,男,8,高,新页面,否,FALSE
346,男,1,高,新页面,否,FALSE
347,女,12,高,旧页面,是,FALSE
348,男,6,高,旧页面,否,FALSE
349,男,45,高,旧页面,否,TRUE
350,男,12,高,旧页面,否,FALSE
351,男,13,高,新页面,否,FALSE
352,女,9,高,旧页面,是,FALSE
353,女,11,高,新页面,是,FALSE
354,女,113,高,新页面,是,TRUE
355,女,6,高,旧页面,是,FALSE
356,男,32,高,新页面,否,FALSE
357,女,17,高,旧页面,是,FALSE
358,女,141,高,旧页面,是,FALSE
359,男,28,高,旧页面,否,FALSE
360,女,95,高,新页面,是,FALSE
361,女,339,高,新页面,是,TRUE
362,女,24,高,旧页面,是,FALSE
363,男,5,高,旧页面,否,FALSE
364,男,6,高,旧页面,否,FALSE
365,男,10,高,旧页面,否,FALSE
366,男,9,高,旧页面,否,FALSE
367,男,6,高,新页面,否,FALSE
368,女,85,高,旧页面,是,FALSE
369,男,54,高,新页面,否,FALSE
370,男,19,高,旧页面,否,FALSE
371,女,6,高,新页面,是,FALSE
372,女,452,高,旧页面,是,TRUE
373,女,26,高,旧页面,是,FALSE
374,女,12,高,新页面,是,FALSE
375,女,2,高,新页面,是,FALSE
376,女,11,高,新页面,是,FALSE
377,男,3,高,新页面,否,FALSE
378,男,6,高,旧页面,否,FALSE
379,男,7,高,新页面,否,FALSE
380,男,57,高,旧页面,否,FALSE
381,男,16,高,新页面,否,FALSE
382,男,15,高,旧页面,否,FALSE
383,女,148,高,新页面,是,TRUE
384,女,57,高,新页面,是,FALSE
385,女,3,高,新页面,是,FALSE
386,女,163,高,旧页面,是,TRUE
387,女,47,高,新页面,是,FALSE
388,男,54,高,旧页面,否,FALSE
389,男,2,高,新页面,否,FALSE
390,女,220,高,旧页面,是,TRUE
391,女,63,高,新页面,是,TRUE
392,女,25,高,新页面,是,FALSE
393,男,0,高,旧页面,否,FALSE
394,男,1,高,旧页面,否,FALSE
395,男,2,高,旧页面,否,FALSE
396,女,84,高,新页面,是,TRUE
397,男,60,高,新页面,否,FALSE
398,女,216,高,旧页面,是,TRUE
399,女,17,高,新页面,是,FALSE
400,女,290,高,旧页面,是,TRUE
401,男,3,高,新页面,否,FALSE
402,女,24,高,新页面,是,FALSE
403,男,5,高,新页面,否,FALSE
404,男,18,高,旧页面,否,FALSE
405,男,5,高,旧页面,否,FALSE
406,男,20,高,旧页面,否,FALSE
407,女,9,高,新页面,是,FALSE
408,女,15,高,新页面,是,FALSE
409,男,4,高,新页面,否,FALSE
410,女,87,高,新页面,是,TRUE
411,女,86,高,新页面,是,FALSE
412,男,0,高,新页面,否,FALSE
413,男,4,高,新页面,否,FALSE
414,男,356,高,旧页面,否,FALSE
415,女,10,高,旧页面,是,FALSE
416,男,3,高,新页面,否,TRUE
417,男,0,高,旧页面,否,FALSE
418,男,0,高,新页面,否,FALSE
419,男,3,高,旧页面,否,FALSE
420,女,34,高,旧页面,是,TRUE
421,男,34,高,旧页面,否,FALSE
422,男,0,高,旧页面,否,FALSE
423,女,117,高,旧页面,是,TRUE
424,男,23,高,旧页面,否,TRUE
425,女,34,高,旧页面,是,FALSE
426,男,8,高,新页面,否,FALSE
427,女,20,高,新页面,是,FALSE
428,女,54,高,新页面,是,TRUE
429,男,4,高,旧页面,否,FALSE
430,男,76,高,新页面,否,TRUE
431,女,55,高,新页面,是,FALSE
432,男,3,高,新页面,否,FALSE
433,男,2,高,新页面,否,FALSE
434,女,22,高,旧页面,是,FALSE
435,女,15,高,旧页面,是,TRUE
436,男,3,高,新页面,否,FALSE
437,男,4,高,新页面,否,FALSE
438,女,298,高,新页面,是,TRUE
439,女,338,高,旧页面,是,TRUE
440,男,1,高,新页面,否,FALSE
441,男,12,高,新页面,否,FALSE
442,男,7,高,新页面,否,FALSE
443,男,5,高,新页面,否,FALSE
444,男,16,高,旧页面,否,FALSE
445,女,9,高,旧页面,是,FALSE
446,男,4,高,新页面,否,FALSE
447,女,115,高,新页面,是,TRUE
448,女,170,高,旧页面,是,TRUE
449,女,174,高,旧页面,是,TRUE
450,男,21,高,旧页面,否,FALSE
451,男,4,高,新页面,否,FALSE
452,男,6,高,新页面,否,FALSE
453,男,6,高,旧页面,否,FALSE
454,男,22,高,旧页面,否,FALSE
455,男,12,高,新页面,否,FALSE
456,男,2,高,新页面,否,FALSE
457,男,2,高,新页面,否,FALSE
458,女,70,高,旧页面,是,FALSE
459,男,0,高,旧页面,否,FALSE
460,男,3,高,旧页面,否,FALSE
461,男,25,高,旧页面,否,FALSE
462,女,141,高,新页面,是,TRUE
463,女,47,高,新页面,是,TRUE
464,男,1,高,旧页面,否,FALSE
465,男,32,高,旧页面,否,FALSE
466,男,3,高,新页面,否,FALSE
467,男,10,高,新页面,否,FALSE
468,男,2,高,旧页面,否,FALSE
469,女,2,高,新页面,是,FALSE
470,男,15,高,旧页面,否,FALSE
471,男,10,高,旧页面,否,FALSE
472,女,54,高,新页面,是,FALSE
473,女,202,高,旧页面,是,TRUE
474,男,2,高,新页面,否,FALSE
475,男,41,高,新页面,否,FALSE
476,男,15,高,旧页面,否,FALSE
477,男,54,高,旧页面,否,FALSE
478,女,5,高,新页面,是,FALSE
479,女,22,高,新页面,是,FALSE
480,女,399,高,新页面,是,TRUE
481,女,13,高,旧页面,是,FALSE
482,女,29,高,新页面,是,FALSE
483,女,38,高,旧页面,是,TRUE
484,男,0,高,新页面,否,FALSE
485,女,19,高,新页面,是,FALSE
486,男,23,高,旧页面,否,FALSE
487,女,237,高,旧页面,是,TRUE
488,女,25,高,新页面,是,FALSE
489,女,85,高,新页面,是,FALSE
490,男,0,高,旧页面,否,FALSE
491,男,11,高,旧页面,否,FALSE
492,男,1,高,新页面,否,FALSE
493,女,7,高,旧页面,是,FALSE
494,女,33,高,旧页面,是,TRUE
495,男,18,高,旧页面,否,FALSE
496,男,14,高,新页面,否,FALSE
497,男,18,高,新页面,否,FALSE
498,女,11,高,新页面,是,FALSE
499,女,26,高,新页面,是,FALSE
500,男,6,高,旧页面,否,FALSE
501,女,65,高,新页面,是,FALSE
502,女,16,高,新页面,是,FALSE
503,男,17,高,新页面,否,FALSE
504,男,139,高,旧页面,否,TRUE
505,男,0,高,旧页面,否,FALSE
506,女,24,高,旧页面,是,FALSE
507,男,23,高,旧页面,否,FALSE
508,男,7,高,旧页面,否,FALSE
509,男,29,高,新页面,否,FALSE
510,男,4,高,旧页面,否,FALSE
511,男,3,高,旧页面,否,FALSE
512,男,19,高,旧页面,否,FALSE
513,男,2,高,旧页面,否,FALSE
514,男,12,高,旧页面,否,FALSE
515,男,1,高,新页面,否,FALSE
516,男,0,高,旧页面,否,FALSE
517,男,6,高,旧页面,否,FALSE
518,男,5,高,新页面,否,FALSE
519,女,67,高,新页面,是,FALSE
520,女,36,高,新页面,是,TRUE
521,男,2,高,新页面,否,FALSE
522,男,1,高,旧页面,否,FALSE
523,女,33,高,新页面,是,FALSE
524,女,9,高,旧页面,是,FALSE
525,女,179,高,旧页面,是,TRUE
526,男,1,高,旧页面,否,FALSE
527,女,202,高,旧页面,是,TRUE
528,女,9,高,旧页面,是,FALSE
529,男,43,高,新页面,否,FALSE
530,男,6,高,旧页面,否,FALSE
531,男,22,高,新页面,否,FALSE
532,男,1,高,旧页面,否,FALSE
533,女,9,高,旧页面,是,TRUE
534,女,4,高,旧页面,是,FALSE
535,男,1,高,旧页面,否,FALSE
536,男,15,高,新页面,否,TRUE
537,男,1,高,旧页面,否,FALSE
538,女,125,高,新页面,是,FALSE
539,男,24,高,新页面,否,FALSE
540,男,1,高,新页面,否,TRUE
541,女,269,高,旧页面,是,FALSE
542,女,31,高,新页面,是,FALSE
543,男,62,高,新页面,否,FALSE
544,男,5,高,新页面,否,FALSE
545,男,16,高,旧页面,否,FALSE
546,男,10,高,新页面,否,FALSE
547,男,4,高,旧页面,否,FALSE
548,男,28,高,新页面,否,FALSE
549,女,46,高,旧页面,是,FALSE
550,男,1,高,新页面,否,FALSE
551,男,4,高,新页面,否,FALSE
552,女,13,高,新页面,是,FALSE
553,男,9,高,旧页面,否,FALSE
554,男,18,高,旧页面,否,FALSE
555,男,15,高,新页面,否,FALSE
556,男,1,高,新页面,否,FALSE
557,男,3,高,旧页面,否,FALSE
558,男,12,高,旧页面,否,FALSE
559,男,8,高,新页面,否,FALSE
560,男,0,高,新页面,否,FALSE
561,女,18,高,新页面,是,FALSE
562,男,7,高,旧页面,否,FALSE
563,男,52,高,新页面,否,TRUE
564,男,0,高,旧页面,否,FALSE
565,女,136,高,新页面,是,FALSE
566,男,5,高,旧页面,否,FALSE
567,女,474,高,新页面,是,TRUE
568,男,5,高,新页面,否,FALSE
569,女,26,高,旧页面,是,FALSE
570,女,83,高,新页面,是,FALSE
571,男,1,高,旧页面,否,FALSE
572,男,1,高,新页面,否,FALSE
573,男,121,高,新页面,否,FALSE
574,女,105,高,新页面,是,TRUE
575,男,2,高,新页面,否,FALSE
576,女,20,高,旧页面,是,FALSE
577,男,46,高,旧页面,否,FALSE
578,男,5,高,旧页面,否,FALSE
579,女,80,高,新页面,是,TRUE
580,女,210,高,新页面,是,TRUE
581,女,16,高,新页面,是,FALSE
582,男,16,高,旧页面,否,FALSE
583,男,0,高,旧页面,否,FALSE
584,男,1,高,旧页面,否,FALSE
585,女,35,高,新页面,是,TRUE
586,女,199,高,新页面,是,FALSE
587,男,6,高,新页面,否,FALSE
588,男,5,高,旧页面,否,FALSE
589,男,3,高,新页面,否,FALSE
590,女,25,高,旧页面,是,FALSE
591,女,118,高,旧页面,是,TRUE
592,女,68,高,新页面,是,FALSE
593,女,105,高,新页面,是,FALSE
594,男,5,高,旧页面,否,FALSE
595,女,38,高,旧页面,是,FALSE
596,男,8,高,新页面,否,FALSE
597,男,7,高,旧页面,否,FALSE
598,男,4,高,旧页面,否,FALSE
599,男,6,高,旧页面,否,FALSE
600,男,12,高,新页面,否,FALSE
601,女,103,高,新页面,是,FALSE
602,女,259,高,旧页面,是,TRUE
603,男,5,高,新页面,否,FALSE
604,女,12,高,新页面,是,FALSE
605,女,6,高,新页面,是,FALSE
606,女,298,高,旧页面,是,TRUE
607,男,3,高,新页面,否,FALSE
608,男,1,高,新页面,否,FALSE
609,男,15,高,新页面,否,FALSE
610,女,6,高,旧页面,是,FALSE
611,男,10,高,旧页面,否,FALSE
612,男,13,高,新页面,否,FALSE
613,女,12,高,新页面,是,FALSE
614,女,34,高,新页面,是,FALSE
615,男,3,高,旧页面,否,FALSE
616,男,2,高,新页面,否,FALSE
617,男,7,高,旧页面,否,FALSE
618,女,24,高,旧页面,是,TRUE
619,男,7,高,新页面,否,FALSE
620,女,53,高,旧页面,是,FALSE
621,男,38,高,新页面,否,TRUE
622,女,11,高,旧页面,是,FALSE
623,女,98,高,新页面,是,FALSE
624,男,4,高,新页面,否,FALSE
625,男,5,高,旧页面,否,FALSE
626,男,3,高,新页面,否,FALSE
627,男,50,高,旧页面,否,FALSE
628,男,149,高,旧页面,否,TRUE
629,女,20,高,旧页面,是,FALSE
630,男,1,高,旧页面,否,FALSE
631,女,30,高,新页面,是,FALSE
632,男,4,高,新页面,否,FALSE
633,女,53,高,新页面,是,FALSE
634,男,5,高,新页面,否,FALSE
635,女,113,高,旧页面,是,FALSE
636,男,2,高,新页面,否,FALSE
637,男,2,高,新页面,否,FALSE
638,男,0,高,旧页面,否,FALSE
639,女,25,高,新页面,是,FALSE
640,男,12,高,旧页面,否,FALSE
641,男,59,高,新页面,否,FALSE
642,男,15,高,旧页面,否,FALSE
643,女,106,高,旧页面,是,TRUE
644,男,2,高,新页面,否,FALSE
645,男,7,高,新页面,否,FALSE
646,男,6,高,新页面,否,FALSE
647,女,59,高,旧页面,是,FALSE
648,男,47,高,旧页面,否,FALSE
649,男,1,高,新页面,否,FALSE
650,女,34,高,旧页面,是,FALSE
651,男,4,高,旧页面,否,FALSE
652,男,12,高,旧页面,否,FALSE
653,女,15,高,旧页面,是,FALSE
654,男,32,高,新页面,否,FALSE
655,男,0,高,旧页面,否,FALSE
656,男,2,高,旧页面,否,FALSE
657,女,34,高,新页面,是,FALSE
658,男,11,高,旧页面,否,FALSE
659,男,16,高,新页面,否,FALSE
660,男,2,高,新页面,否,FALSE
661,女,128,高,旧页面,是,TRUE
662,男,9,高,新页面,否,FALSE
663,男,0,高,新页面,否,FALSE
664,男,34,高,旧页面,否,TRUE
665,男,7,高,新页面,否,FALSE
666,男,7,高,新页面,否,FALSE
667,女,215,高,新页面,是,TRUE
668,男,1,高,旧页面,否,FALSE
669,男,0,高,新页面,否,FALSE
670,女,231,高,新页面,是,FALSE
671,男,5,高,旧页面,否,FALSE
672,男,16,高,新页面,否,FALSE
673,男,34,高,旧页面,否,FALSE
674,男,2,高,新页面,否,FALSE
675,女,34,高,旧页面,是,FALSE
676,男,2,高,旧页面,否,FALSE
677,男,12,高,新页面,否,FALSE
678,男,6,高,新页面,否,FALSE
679,女,41,高,旧页面,是,FALSE
680,男,36,高,新页面,否,FALSE
681,男,13,高,新页面,否,FALSE
682,男,3,高,旧页面,否,FALSE
683,女,36,高,新页面,是,TRUE
684,男,28,高,新页面,否,FALSE
685,女,11,高,旧页面,是,FALSE
686,男,12,高,新页面,否,FALSE
687,男,7,高,旧页面,否,FALSE
688,男,14,高,新页面,否,FALSE
689,女,3,高,旧页面,是,FALSE
690,男,0,高,新页面,否,FALSE
691,男,5,高,新页面,否,FALSE
692,女,129,高,新页面,是,TRUE
693,男,95,高,新页面,否,TRUE
694,女,96,高,新页面,是,FALSE
695,女,160,高,旧页面,是,FALSE
696,男,0,高,旧页面,否,FALSE
697,男,17,高,新页面,否,FALSE
698,女,24,高,新页面,是,FALSE
699,女,11,高,新页面,是,FALSE
700,男,6,高,新页面,否,FALSE
701,男,26,高,新页面,否,FALSE
702,女,110,高,新页面,是,TRUE
703,女,61,高,旧页面,是,TRUE
704,男,5,高,旧页面,否,FALSE
705,男,15,高,旧页面,否,FALSE
706,男,3,高,新页面,否,FALSE
707,男,12,高,旧页面,否,FALSE
708,男,1,高,新页面,否,FALSE
709,女,65,高,新页面,是,FALSE
710,男,2,高,新页面,否,FALSE
711,男,18,高,新页面,否,FALSE
712,女,275,高,新页面,是,TRUE
